chr	start	end	fisher.p.value	tmr.ratio	nor.ratio	OR	CI_95_L	CI_95_H	cytoband	DM.band.	CpGi	DM.island.	closest.TSS	pos	dir	dist	overlapped.TSS	overlapped.pos	ovrl.dir	norm.700.reads.min	norm.700.reads.25q	norm.700.reads.med	norm.700.reads.75q	norm.700.reads.max	tumor.700.reads.min	tumor.700.reads.25q	tumor.700.reads.med	tumor.700.reads.75q	tumor.700.reads.max
chr6	137811101	137811200	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	q23.3	FALSE	NA	NA	OLIG3	137815531	-	4330	OLIG3	137815531	-	0	3	5	9	23	0	19.25	27.5	48.5	119
chr6	137811201	137811300	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	q23.3	FALSE	NA	NA	OLIG3	137815531	-	4230	OLIG3	137815531	-	0	3	4	8	29	0	18.25	25	41.5	108
chr6	137814701	137814800	1.03229796051015e-10	0.8	0.04	88.4116797580988	11.8492400110969	3935.61800127029	q23.3	FALSE	CpG: 81.chr6.137814355	TRUE	OLIG3	137815531	-	730	OLIG3	137815531	-	0	4	6	12	33	0	15	30	43.25	220
chr6	137814801	137814900	2.21412431660222e-12	0.86	0.04	131.687196050845	16.8767041097356	5921.64630215503	q23.3	FALSE	CpG: 81.chr6.137814355	TRUE	OLIG3	137815531	-	630	OLIG3	137815531	-	0	5	8	15	38	4	21	39.5	49.5	266
chr6	137814901	137815000	1.1820150429933e-10	0.88	0.12	48.871483710807	10.6179430083334	332.247127412258	q23.3	FALSE	CpG: 81.chr6.137814355	TRUE	OLIG3	137815531	-	530	OLIG3	137815531	-	0	7	12	18	41	6	22.25	42	53.5	294
chr6	137815101	137815200	1.12218101162988e-09	0.88	0.16	35.4115684274262	8.47541001348151	195.009174387575	q23.3	FALSE	CpG: 81.chr6.137814355	TRUE	OLIG3	137815531	-	330	OLIG3	137815531	-	0	6	11	16	37	6	21	33	49.25	251
chr6	137816801	137816900	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	q23.3	FALSE	CpG: 61.chr6.137816474	TRUE	OLIG3	137815531	-	-1269	OLIG3	137815531	-	0	1	4	12	26	0	18	29	66	282
chr6	137816901	137817000	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	q23.3	FALSE	CpG: 61.chr6.137816474	TRUE	OLIG3	137815531	-	-1369	OLIG3	137815531	-	0	1	3	12	30	0	18	28.5	68	277
chr6	137817001	137817100	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	q23.3	FALSE	CpG: 61.chr6.137816474	TRUE	OLIG3	137815531	-	-1469	OLIG3	137815531	-	0	1	3	12	30	0	18.25	26.5	66.5	265
chr6	137817101	137817200	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	q23.3	FALSE	CpG: 61.chr6.137816474	TRUE	OLIG3	137815531	-	-1569	OLIG3	137815531	-	0	1	3	9	28	0	17.25	24.5	63.25	254
chr6	137817201	137817300	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	q23.3	FALSE	NA	NA	OLIG3	137815531	-	-1669	OLIG3	137815531	-	0	1	3	6	20	0	11.25	20.5	45.25	206
chr6	166402101	166402200	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	q27	FALSE	CpG: 86.chr6.166401526	TRUE	LINC00473	166401527	-	-573	LINC00602, LINC00473	166401039, 166401527	+, -	0	1	4	7	23	2	14.25	29	38.5	236
chr6	166402201	166402300	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	q27	FALSE	CpG: 86.chr6.166401526	TRUE	LINC00473	166401527	-	-673	LINC00602, LINC00473	166401039, 166401527	+, -	0	1	4	8	23	2	15.25	29.5	42.5	266
chr6	166402301	166402400	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	q27	FALSE	CpG: 86.chr6.166401526	TRUE	LINC00473	166401527	-	-773	LINC00602, LINC00473	166401039, 166401527	+, -	0	0	4	9	23	2	15	32	43.5	269
chr6	166402401	166402500	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	q27	FALSE	CpG: 86.chr6.166401526	TRUE	LINC00473	166401527	-	-873	LINC00602, LINC00473	166401039, 166401527	+, -	0	2	5	8	21	2	16	33.5	43.75	266
chr6	166402501	166402600	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	q27	FALSE	CpG: 86.chr6.166401526	TRUE	LINC00473	166401527	-	-973	LINC00602, LINC00473	166401039, 166401527	+, -	0	2	4	8	25	2	14.5	31.5	42	234
chr6	166580001	166580100	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	q27	FALSE	CpG: 270.chr6.166579973	TRUE	T	166582157	-	2056	T	166582157	-	0	1	2	3	11	4	18	33.5	50.75	298
chr6	166580101	166580200	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	q27	FALSE	CpG: 270.chr6.166579973	TRUE	T	166582157	-	1956	T	166582157	-	0	1	2	3	11	0	16.25	32	49	306
chr6	166580201	166580300	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	q27	FALSE	CpG: 270.chr6.166579973	TRUE	T	166582157	-	1856	T	166582157	-	0	1	2	5	14	0	17.25	30	45.75	297
chr6	166580301	166580400	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	q27	FALSE	CpG: 270.chr6.166579973	TRUE	T	166582157	-	1756	T	166582157	-	0	1	2	5	11	0	17.25	30.5	44.5	292
chr6	166580401	166580500	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	q27	FALSE	CpG: 270.chr6.166579973	TRUE	T	166582157	-	1656	T	166582157	-	0	1	3	5	11	0	14	28.5	37.5	274
chr6	166582401	166582500	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	q27	FALSE	CpG: 270.chr6.166579973	TRUE	T	166582157	-	-243	T	166582157	-	0	1	4	7	17	3	14.25	30.5	56.5	240
chr7	402601	402700	1.22651686533341e-09	0.76	0.04	70.8881388973918	9.66944701735788	3140.66464310385	p22.3	FALSE	NA	NA	LOC442497	419391	+	-16690	NA	NA	NA	0	4	6	15	36	10	23	38	55.75	224
chr7	402701	402800	3.20842014340376e-10	0.78	0.04	78.9053616466483	10.6781983320746	3503.52686079878	p22.3	FALSE	NA	NA	LOC442497	419391	+	-16590	NA	NA	NA	0	4	6	15	73	10	23	38	53	218
chr7	402801	402900	3.20842014340376e-10	0.78	0.04	78.9053616466483	10.6781983320746	3503.52686079878	p22.3	FALSE	NA	NA	LOC442497	419391	+	-16490	NA	NA	NA	0	5	6	15	73	9	22.25	35	49.5	218
chr7	402901	403000	1.22651686533341e-09	0.76	0.04	70.8881388973918	9.66944701735788	3140.66464310385	p22.3	FALSE	NA	NA	LOC442497	419391	+	-16390	NA	NA	NA	0	5	6	16	72	7	18	28	43.75	145
chr7	644101	644200	1.14246414601915e-11	0.78	0	Inf	17.543080161823	Inf	p22.3	FALSE	NA	NA	FLJ44511	560028	+	84072	NA	NA	NA	0	2	5	7	48	0	13	20.5	32.75	77
chr7	644201	644300	2.70319611470623e-10	0.9	0.16	42.9965611963169	9.85599884808215	250.15724030789	p22.3	FALSE	CpG: 22.chr7.644181	TRUE	FLJ44511	560028	+	84172	NA	NA	NA	0	6	9	14	48	3	16	25.5	36	91
chr7	1270101	1270200	3.20842014340376e-10	0.78	0.04	78.9053616466483	10.6781983320746	3503.52686079878	p22.3	FALSE	CpG: 923.chr7.1269165	TRUE	UNCX	1272654	+	-2453	UNCX	1272654	+	0	4	6	13	23	0	11	29.5	50.75	176
chr7	1270201	1270300	3.20842014340376e-10	0.78	0.04	78.9053616466483	10.6781983320746	3503.52686079878	p22.3	FALSE	CpG: 923.chr7.1269165	TRUE	UNCX	1272654	+	-2353	UNCX	1272654	+	0	6	8	13	27	0	15.25	40.5	59	218
chr7	1270301	1270400	3.20842014340376e-10	0.78	0.04	78.9053616466483	10.6781983320746	3503.52686079878	p22.3	FALSE	CpG: 923.chr7.1269165	TRUE	UNCX	1272654	+	-2253	UNCX	1272654	+	0	6	9	14	45	0	16.75	47	67.5	256
chr7	1270401	1270500	1.22651686533341e-09	0.76	0.04	70.8881388973918	9.66944701735788	3140.66464310385	p22.3	FALSE	CpG: 923.chr7.1269165	TRUE	UNCX	1272654	+	-2153	UNCX	1272654	+	1	6	11	16	45	0	19.25	50	67.75	257
chr7	8482701	8482800	4.84377091510643e-10	0.92	0.2	41.8798855694965	9.55242149872776	244.431257059913	p21.3	FALSE	NA	NA	NXPH1	8473585	+	9115	NA	NA	NA	0	5	11	18	52	12	43	69.5	118	516
chr7	8482801	8482900	4.84377091510643e-10	0.92	0.2	41.8798855694965	9.55242149872776	244.431257059913	p21.3	FALSE	NA	NA	NXPH1	8473585	+	9215	NA	NA	NA	0	4	9	16	41	8	31.5	59.5	102.75	430
chr7	8482901	8483000	9.453240449212e-12	0.88	0.08	75.3789325546819	13.8457307338459	828.848319427801	p21.3	FALSE	NA	NA	NXPH1	8473585	+	9315	NA	NA	NA	0	3	6	13	33	5	28	43.5	76	348
chr7	8483901	8484000	1.44122092033791e-10	0.84	0.08	55.2917459460206	10.6421667725836	571.024734819671	p21.3	FALSE	NA	NA	NXPH1	8473585	+	10315	NA	NA	NA	0	2	8	15	42	1	28.75	46	86.25	380
chr7	8484001	8484100	1.03229796051015e-10	0.8	0.04	88.4116797580988	11.8492400110969	3935.61800127029	p21.3	FALSE	NA	NA	NXPH1	8473585	+	10415	NA	NA	NA	0	1	6	9	42	0	22.25	36	51.5	285
chr7	19151801	19151900	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	p21.1	FALSE	NA	NA	TWIST1	19157295	-	5394	TWIST1	19157295	-	0	1	1	4	18	0	14	20	34	138
chr7	19151901	19152000	3.49086266839181e-12	0.8	0	Inf	19.4826775880226	Inf	p21.1	FALSE	NA	NA	TWIST1	19157295	-	5294	TWIST1	19157295	-	0	1	3	5	29	0	19	28	44.75	202
chr7	19152001	19152100	3.49086266839181e-12	0.8	0	Inf	19.4826775880226	Inf	p21.1	FALSE	CpG: 36.chr7.19151966	TRUE	TWIST1	19157295	-	5194	TWIST1	19157295	-	0	1	3	5	29	0	21.5	30	49.5	206
chr7	19152101	19152200	3.49086266839181e-12	0.8	0	Inf	19.4826775880226	Inf	p21.1	FALSE	CpG: 36.chr7.19151966	TRUE	TWIST1	19157295	-	5094	TWIST1	19157295	-	0	1	3	6	29	0	22	31	49	211
chr7	19152201	19152300	3.49086266839181e-12	0.8	0	Inf	19.4826775880226	Inf	p21.1	FALSE	CpG: 36.chr7.19151966	TRUE	TWIST1	19157295	-	4994	TWIST1	19157295	-	0	1	2	6	28	0	21.75	31.5	48.25	210
chr7	19152301	19152400	1.14246414601915e-11	0.78	0	Inf	17.543080161823	Inf	p21.1	FALSE	NA	NA	TWIST1	19157295	-	4894	TWIST1	19157295	-	0	1	3	6	27	0	18.25	28	45.75	204
chr7	19152401	19152500	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	p21.1	FALSE	NA	NA	TWIST1	19157295	-	4794	TWIST1	19157295	-	0	1	3	6	26	0	13.25	22.5	36.5	202
chr7	19184101	19184200	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	p21.1	FALSE	NA	NA	FERD3L	19185044	-	843	FERD3L	19185044	-	0	3	5	9	23	0	15	24.5	49.25	182
chr7	19184201	19184300	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	p21.1	FALSE	NA	NA	FERD3L	19185044	-	743	FERD3L	19185044	-	0	3	5	10	26	0	17.25	34	59	223
chr7	19184301	19184400	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	p21.1	FALSE	CpG: 32.chr7.19184221	TRUE	FERD3L	19185044	-	643	FERD3L	19185044	-	0	3	5	10	30	0	17	36	56	232
chr7	19184401	19184500	2.21412431660222e-12	0.86	0.04	131.687196050845	16.8767041097356	5921.64630215503	p21.1	FALSE	CpG: 32.chr7.19184221	TRUE	FERD3L	19185044	-	543	FERD3L	19185044	-	0	2	5	7	20	0	15.25	29	53	180
chr7	19184501	19184600	5.10802873635223e-13	0.88	0.04	154.746002475729	19.3698177844685	6987.80566024278	p21.1	FALSE	CpG: 32.chr7.19184221	TRUE	FERD3L	19185044	-	443	FERD3L	19185044	-	0	3	5	8	20	0	17.5	30.5	58	195
chr7	19184601	19184700	2.0385860957949e-12	0.9	0.08	90.8305887990004	16.11020592739	1007.59948513629	p21.1	FALSE	NA	NA	FERD3L	19185044	-	343	FERD3L	19185044	-	0	3	8	15	34	0	25	38	69	247
chr7	19184701	19184800	5.29606475441253e-12	0.92	0.12	74.388179539969	14.6567858280843	579.773902959832	p21.1	FALSE	NA	NA	FERD3L	19185044	-	243	FERD3L	19185044	-	0	4	8	17	31	0	24.5	38.5	72.75	256
chr7	19184801	19184900	2.69306399965524e-11	0.9	0.12	59.1497167037901	12.3503565584779	417.946350846817	p21.1	FALSE	NA	NA	FERD3L	19185044	-	143	FERD3L	19185044	-	0	4	9	17	36	5	26.25	41	71.5	233
chr7	19184901	19185000	1.1820150429933e-10	0.88	0.12	48.871483710807	10.6179430083334	332.247127412258	p21.1	FALSE	CpG: 20.chr7.19184818	TRUE	FERD3L	19185044	-	43	FERD3L	19185044	-	1	3	8	16	38	5	24	31.5	57.75	206
chr7	19185001	19185100	1.1820150429933e-10	0.88	0.12	48.871483710807	10.6179430083334	332.247127412258	p21.1	FALSE	NA	NA	FERD3L	19185044	-	0	FERD3L	19185044	-	1	3	7	15	35	5	18.25	28	46.5	165
chr7	24323801	24323900	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	p15.3	FALSE	CpG: 123.chr7.24323558	TRUE	NPY	24323807	+	0	NPY	24323807	+	0	0	1	5	10	0	10	24	46.75	231
chr7	24323901	24324000	1.14246414601915e-11	0.78	0	Inf	17.543080161823	Inf	p15.3	FALSE	CpG: 123.chr7.24323558	TRUE	NPY	24323807	+	93	NPY	24323807	+	0	0	1	5	14	0	14.25	28.5	51.75	267
chr7	24324001	24324100	1.14246414601915e-11	0.78	0	Inf	17.543080161823	Inf	p15.3	FALSE	CpG: 123.chr7.24323558	TRUE	NPY	24323807	+	193	NPY	24323807	+	0	0	1	5	14	0	17	30.5	52.75	241
chr7	24324101	24324200	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	p15.3	FALSE	CpG: 123.chr7.24323558	TRUE	NPY	24323807	+	293	NPY	24323807	+	0	0	1	5	14	1	16.25	30.5	48.5	222
chr7	24324201	24324300	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	p15.3	FALSE	CpG: 123.chr7.24323558	TRUE	NPY	24323807	+	393	NPY	24323807	+	0	0	2	5	15	1	15	24	43.75	178
chr7	24324301	24324400	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	p15.3	FALSE	CpG: 123.chr7.24323558	TRUE	NPY	24323807	+	493	NPY	24323807	+	0	1	3	6	19	1	15.5	29	49.25	174
chr7	24324401	24324500	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	p15.3	FALSE	CpG: 123.chr7.24323558	TRUE	NPY	24323807	+	593	NPY	24323807	+	0	1	4	8	23	1	16.25	28	50	160
chr7	24324501	24324600	8.66448648556534e-12	0.84	0.04	113.949251987501	14.8727175768086	5104.50600631386	p15.3	FALSE	CpG: 123.chr7.24323558	TRUE	NPY	24323807	+	693	NPY	24323807	+	0	1	3	8	15	2	16.5	29.5	53	140
chr7	24324601	24324700	3.10657442506465e-11	0.82	0.04	99.8679694024754	13.2212475876335	4458.66901990027	p15.3	FALSE	CpG: 123.chr7.24323558	TRUE	NPY	24323807	+	793	NPY	24323807	+	0	0	4	7	19	3	17.25	28	58.75	184
chr7	24324701	24324800	3.10657442506465e-11	0.82	0.04	99.8679694024754	13.2212475876335	4458.66901990027	p15.3	FALSE	CpG: 123.chr7.24323558	TRUE	NPY	24323807	+	893	NPY	24323807	+	0	0	4	7	19	0	20	29	64.5	226
chr7	24324801	24324900	3.10657442506465e-11	0.82	0.04	99.8679694024754	13.2212475876335	4458.66901990027	p15.3	FALSE	CpG: 123.chr7.24323558	TRUE	NPY	24323807	+	993	NPY	24323807	+	0	0	5	8	22	0	18	27.5	59.5	222
chr7	24324901	24325000	3.10657442506465e-11	0.82	0.04	99.8679694024754	13.2212475876335	4458.66901990027	p15.3	FALSE	CpG: 123.chr7.24323558	TRUE	NPY	24323807	+	1093	NPY	24323807	+	0	0	5	9	22	0	17	27	57	215
chr7	24325001	24325100	1.03229796051015e-10	0.8	0.04	88.4116797580988	11.8492400110969	3935.61800127029	p15.3	FALSE	NA	NA	NPY	24323807	+	1193	NPY	24323807	+	0	0	5	7	22	0	14.25	21.5	42.75	171
chr7	25898101	25898200	1.5465108320584e-09	0.8	0.08	42.7909294467574	8.487997443863	433.284722627506	p15.2	TRUE	NA	NA	RNU6-16P	25880630	-	-17470	NA	NA	NA	0	5	9	17	38	4	16.5	28	38.75	119
chr7	25898201	25898300	9.453240449212e-12	0.88	0.08	75.3789325546819	13.8457307338459	828.848319427801	p15.2	TRUE	NA	NA	RNU6-16P	25880630	-	-17570	NA	NA	NA	1	4	8	13	38	4	15	26	35.75	92
chr7	25898301	25898400	3.88355353403929e-11	0.86	0.08	64.0101891823486	12.0659412433866	667.703773471697	p15.2	TRUE	CpG: 39.chr7.25898237	TRUE	RNU6-16P	25880630	-	-17670	NA	NA	NA	1	5	10	15	38	4	16	32	46	158
chr7	25898401	25898500	9.453240449212e-12	0.88	0.08	75.3789325546819	13.8457307338459	828.848319427801	p15.2	TRUE	CpG: 39.chr7.25898237	TRUE	RNU6-16P	25880630	-	-17770	NA	NA	NA	1	6	11	15	38	4	23	34.5	53.5	168
chr7	25898501	25898600	1.1820150429933e-10	0.88	0.12	48.871483710807	10.6179430083334	332.247127412258	p15.2	TRUE	CpG: 39.chr7.25898237	TRUE	RNU6-16P	25880630	-	-17870	NA	NA	NA	1	8	11	16	38	4	22.25	35.5	53.25	178
chr7	25898601	25898700	2.69306399965524e-11	0.9	0.12	59.1497167037901	12.3503565584779	417.946350846817	p15.2	TRUE	CpG: 39.chr7.25898237	TRUE	RNU6-16P	25880630	-	-17970	NA	NA	NA	1	8	11	15	51	7	21.25	32	45	168
chr7	25898701	25898800	1.12218101162988e-09	0.88	0.16	35.4115684274262	8.47541001348151	195.009174387575	p15.2	TRUE	NA	NA	RNU6-16P	25880630	-	-18070	NA	NA	NA	0	7	8	14	57	7	19.25	28.5	49.25	177
chr7	25898801	25898900	1.44122092033791e-10	0.84	0.08	55.2917459460206	10.6421667725836	571.024734819671	p15.2	TRUE	NA	NA	RNU6-16P	25880630	-	-18170	NA	NA	NA	0	7	13	18	57	7	20	32	49.25	179
chr7	27127501	27127600	6.85013828473173e-10	0.94	0.24	45.1952211263585	9.67810074612172	309.523021095489	p15.2	TRUE	CpG: 77.chr7.27127500	TRUE	HOXA1	27135625	-	8024	NA	NA	NA	2	10	13	27	45	6	18.5	34	53.5	198
chr7	27127601	27127700	6.85013828473173e-10	0.94	0.24	45.1952211263585	9.67810074612172	309.523021095489	p15.2	TRUE	CpG: 77.chr7.27127500	TRUE	HOXA1	27135625	-	7924	NA	NA	NA	0	8	11	24	43	8	17.25	34.5	58	210
chr7	27191801	27191900	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	p15.2	TRUE	NA	NA	HOXA7	27196296	-	4395	HOXA6, HOXA7	27187393, 27196296	-, -	0	0	1	3	10	0	14	25	38.75	135
chr7	27191901	27192000	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	p15.2	TRUE	NA	NA	HOXA7	27196296	-	4295	HOXA6, HOXA7	27187393, 27196296	-, -	0	0	1	2	11	0	16.25	30	42	135
chr7	27192001	27192100	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	p15.2	TRUE	NA	NA	HOXA7	27196296	-	4195	HOXA6, HOXA7	27187393, 27196296	-, -	0	1	1	3	12	0	17	33.5	46	131
chr7	27192101	27192200	2.64014823659888e-13	0.84	0	Inf	24.497143179789	Inf	p15.2	TRUE	NA	NA	HOXA7	27196296	-	4095	HOXA6, HOXA7	27187393, 27196296	-, -	0	0	1	3	6	0	18.25	34	54	133
chr7	27192201	27192300	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	p15.2	TRUE	NA	NA	HOXA7	27196296	-	3995	HOXA6, HOXA7	27187393, 27196296	-, -	0	1	2	4	17	0	22.25	32	56.25	145
chr7	27192301	27192400	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	p15.2	TRUE	NA	NA	HOXA7	27196296	-	3895	HOXA6, HOXA7	27187393, 27196296	-, -	0	1	4	5	21	2	24.5	37	59	156
chr7	27192401	27192500	3.49086266839181e-12	0.8	0	Inf	19.4826775880226	Inf	p15.2	TRUE	NA	NA	HOXA7	27196296	-	3795	HOXA6, HOXA7	27187393, 27196296	-, -	0	1	4	6	28	2	21.5	34.5	54.75	145
chr7	27192501	27192600	3.20842014340376e-10	0.78	0.04	78.9053616466483	10.6781983320746	3503.52686079878	p15.2	TRUE	NA	NA	HOXA7	27196296	-	3695	HOXA6, HOXA7	27187393, 27196296	-, -	0	2	6	8	28	3	18	30	45.5	105
chr7	27194501	27194600	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	p15.2	TRUE	NA	NA	HOXA7	27196296	-	1695	HOXA7	27196296	-	0	1	2	4	23	0	11	23	58	255
chr7	27194601	27194700	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	p15.2	TRUE	CpG: 28.chr7.27194583	TRUE	HOXA7	27196296	-	1595	HOXA7	27196296	-	0	1	1	4	23	0	11.25	24.5	57.5	257
chr7	27194701	27194800	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	p15.2	TRUE	CpG: 28.chr7.27194583	TRUE	HOXA7	27196296	-	1495	HOXA7	27196296	-	0	0	1	3	18	0	11	23.5	54.75	256
chr7	27194801	27194900	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	p15.2	TRUE	NA	NA	HOXA7	27196296	-	1395	HOXA7	27196296	-	0	0	1	4	18	0	11.25	19.5	55.5	260
chr7	27197401	27197500	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	p15.2	TRUE	NA	NA	HOXA7	27196296	-	-1104	HOXA7	27196296	-	0	0	2	4	11	0	13.5	18.5	31	98
chr7	27197501	27197600	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	p15.2	TRUE	NA	NA	HOXA7	27196296	-	-1204	HOXA7	27196296	-	0	0	2	6	22	0	18.75	27.5	45.75	124
chr7	27197601	27197700	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	p15.2	TRUE	NA	NA	HOXA7	27196296	-	-1304	HOXA7	27196296	-	0	1	2	6	21	0	23	29	47.75	136
chr7	27197701	27197800	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	p15.2	TRUE	NA	NA	HOXA7	27196296	-	-1404	HOXA7	27196296	-	0	1	3	7	21	0	23.25	32	48.25	134
chr7	27197801	27197900	6.40035936145176e-14	0.86	0	Inf	27.8309764505005	Inf	p15.2	TRUE	NA	NA	HOXA7	27196296	-	-1504	HOXA7	27196296	-	0	2	5	8	18	0	25	34	50.5	145
chr7	27197901	27198000	1.40007861031758e-14	0.88	0	Inf	32.0071259874135	Inf	p15.2	TRUE	NA	NA	HOXA7	27196296	-	-1604	HOXA7	27196296	-	0	2	7	9	16	0	21	37	55.75	162
chr7	27198001	27198100	4.90291528434817e-10	0.82	0.08	48.3908791298453	9.46682171873007	494.778253957172	p15.2	TRUE	NA	NA	HOXA7	27196296	-	-1704	HOXA7	27196296	-	0	3	8	10	27	7	21.25	37	63.5	153
chr7	27198201	27198300	4.59981762113985e-10	0.86	0.12	41.3756238439278	9.26195490731702	273.061448028954	p15.2	TRUE	CpG: 28.chr7.27198182	TRUE	HOXA7	27196296	-	-1904	HOXA7, HOXA9	27196296, 27205149	-, -	0	3	7	11	23	3	23.25	34	61.5	134
chr7	27198301	27198400	4.59981762113985e-10	0.86	0.12	41.3756238439278	9.26195490731702	273.061448028954	p15.2	TRUE	CpG: 28.chr7.27198182	TRUE	HOXA7	27196296	-	-2004	HOXA7, HOXA9	27196296, 27205149	-, -	0	5	8	11	50	0	16.75	27	60	131
chr7	27198401	27198500	4.59981762113985e-10	0.86	0.12	41.3756238439278	9.26195490731702	273.061448028954	p15.2	TRUE	CpG: 28.chr7.27198182	TRUE	HOXA7	27196296	-	-2104	HOXA7, HOXA9	27196296, 27205149	-, -	0	5	7	9	50	0	16.75	28	53.5	131
chr7	27198501	27198600	3.88355353403929e-11	0.86	0.08	64.0101891823486	12.0659412433866	667.703773471697	p15.2	TRUE	NA	NA	HOXA7	27196296	-	-2204	HOXA7, HOXA9	27196296, 27205149	-, -	0	3	7	9	50	0	15	27	48.25	130
chr7	27198601	27198700	1.03229796051015e-10	0.8	0.04	88.4116797580988	11.8492400110969	3935.61800127029	p15.2	TRUE	NA	NA	HOXA7	27196296	-	-2304	HOXA7, HOXA9	27196296, 27205149	-, -	0	3	5	9	50	2	15	26	39	117
chr7	27203601	27203700	1.5465108320584e-09	0.8	0.08	42.7909294467574	8.487997443863	433.284722627506	p15.2	TRUE	NA	NA	HOXA9	27205149	-	1448	HOXA10-AS, HOXA9, MIR196B	27208518, 27205149, 27209182	+, -, -	1	3	9	13	38	4	31.5	49	67.5	230
chr7	27203701	27203800	4.90291528434817e-10	0.82	0.08	48.3908791298453	9.46682171873007	494.778253957172	p15.2	TRUE	NA	NA	HOXA9	27205149	-	1348	HOXA10-AS, HOXA9, MIR196B	27208518, 27205149, 27209182	+, -, -	1	3	7	12	35	3	28.25	47	66	269
chr7	27203801	27203900	6.40035936145176e-14	0.86	0	Inf	27.8309764505005	Inf	p15.2	TRUE	NA	NA	HOXA9	27205149	-	1248	HOXA10-AS, HOXA9, MIR196B	27208518, 27205149, 27209182	+, -, -	0	2	4	10	34	3	30	46.5	64.5	222
chr7	27203901	27204000	6.40035936145176e-14	0.86	0	Inf	27.8309764505005	Inf	p15.2	TRUE	NA	NA	HOXA9	27205149	-	1148	HOXA10-AS, HOXA9, MIR196B	27208518, 27205149, 27209182	+, -, -	0	1	4	6	34	3	29.75	44.5	70.75	220
chr7	27204001	27204100	6.40035936145176e-14	0.86	0	Inf	27.8309764505005	Inf	p15.2	TRUE	CpG: 201.chr7.27203915	TRUE	HOXA9	27205149	-	1048	HOXA10-AS, HOXA9, MIR196B	27208518, 27205149, 27209182	+, -, -	0	1	3	6	24	3	28	44	68.25	246
chr7	27204101	27204200	6.40035936145176e-14	0.86	0	Inf	27.8309764505005	Inf	p15.2	TRUE	CpG: 201.chr7.27203915	TRUE	HOXA9	27205149	-	948	HOXA10-AS, HOXA9, MIR196B	27208518, 27205149, 27209182	+, -, -	0	1	2	5	27	2	28	47	72.75	265
chr7	27204201	27204300	6.40035936145176e-14	0.86	0	Inf	27.8309764505005	Inf	p15.2	TRUE	CpG: 201.chr7.27203915	TRUE	HOXA9	27205149	-	848	HOXA10-AS, HOXA9, MIR196B	27208518, 27205149, 27209182	+, -, -	0	1	2	5	27	1	23	46	75.25	266
chr7	27204301	27204400	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	p15.2	TRUE	CpG: 201.chr7.27203915	TRUE	HOXA9	27205149	-	748	HOXA10-AS, HOXA9, MIR196B	27208518, 27205149, 27209182	+, -, -	0	1	2	5	27	0	21	36.5	67	255
